1;Toyota;Camry;2020;JTNBK4HK0L3123456;А123ВС77;Белый;2500000
2;BMW;M5 F90;2021;WBSJF0C50MB123456;В456ЕК99;Черный;8500000
3;Audi;RS6 Avant;2022;WUAZZZFC0ND123456;С789МН50;Серый;9800000
4;Mercedes-Benz;E200;2019;WDD2130421A123456;Е321ОР77;Синий;3200000
5;Porsche;911 Turbo S;2023;WP0AD2A99PS123456;К654ТУ99;Красный;18500000
6;Ford;Mustang GT;2020;1FA6P8CF0L5123456;М987ХА78;Желтый;4500000
7;Chevrolet;Camaro SS;2021;1G1FH1R70M0123456;Н159СВ50;Оранжевый;5200000
8;Dodge;Challenger;2019;2C3CDZC97KH123456;О753УЕ77;Черный;4800000
9;Nissan;GT-R R35;2020;JN1AR5EF0LM123456;Р246ФХ99;Серебристый;9500000
10;Subaru;WRX STI;2021;JF1VA2U60MG123456;Т580ЦЧ78;Синий;3900000
11;Mazda;RX-7;1995;FD3S50123456;У813ШЩ50;Красный;2800000
12;Honda;Civic Type R;2022;SHHFL2H00NU123456;Ф924ЭЮ77;Белый;4300000
13;Tesla;Model S Plaid;2023;5YJSA1E60PF123456;Х135ЯА99;Черный;12500000
14;Lada;Vesta Sport;2021;XTAGFL110MY123456;Ц468БВ78;Красный;1450000
15;Kia;Stinger GT;2020;KNAE4A5E0L5123456;Ч791ГД50;Зеленый;3600000
16;Hyundai;i30 N;2021;KMHH351E0MU123456;Ш024ДЕ77;Голубой;3100000
17;Volkswagen;Golf R;2020;WVWZZZAUZLW123456;Щ357ЕЖ99;Серый;3400000
18;Skoda;Octavia RS;2019;TMBJJ7NE0K0123456;Э680ЖЗ78;Белый;2700000
19;Renault;Logan;2020;X7LLSRB0AL0123456;Ю912ЗИ50;Серебристый;900000
20;Lexus;LS 500;2022;JTHB5AJ10N0123456;Я245ИК77;Черный;9200000
21;Infiniti;Q50;2019;JN1CV7AP0K9123456;А578КЛ99;Синий;3400000
22;Jaguar;F-Type R;2021;SAJDD5GX0MC123456;Б801ЛМ50;Красный;8900000
23;Volvo;XC90 T8;2022;YV4A22PK0N1123456;В134МН78;Белый;6800000
24;Land Rover;Defender;2023;SALEA7AX0P2123456;Г467НО77;Зеленый;10500000
25;Jeep;Wrangler Rubicon;2021;1C4HJXFG0LW123456;Д790ПР99;Черный;5900000
32156;asdasd;asd;asda;asd;asd;asd;asd
